X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRLM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRLM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,30,5.0,5.0,5.0,12.686190145854454,31.064211370055894,0.7825697026460245,5.0,5.0,5.0,12.656915755871342,31.13489194533191,0.8581315858939015
12.5,35,5.0,5.0,5.0,11.636485298997465,36.129336538390774,1.635177992232765,5.0,5.0,5.0,11.719622474671434,36.35200180736674,1.6768272283278791
12.5,40,5.0,5.0,5.0,11.286160171640471,40.303879750817316,1.8163848780603364,5.0,5.0,5.0,11.030502486176252,39.91181832644287,2.126297558226438
12.5,45,5.0,5.0,5.0,11.287531473521787,44.31283485231425,2.113520810831224,6.0,5.0,6.0,16.01778723173783,41.86407617176468,4.584347243476941
12.5,50,5.0,5.0,5.0,7.243104634244811,45.901039982847166,7.385381815542404,5.0,5.0,5.0,7.737955495645518,46.2470486816829,6.782221311560825
17.5,0,5.0,5.0,5.0,12.378808793317607,6.246691497631851,8.180209672856835,5.0,4.0,5.0,12.528528460380711,5.712842037149568,7.698544383744976
17.5,5,5.0,4.0,4.0,16.93180058294172,7.280938682849259,2.214186127373671,5.0,5.0,5.0,16.175336805143793,8.525299552687795,3.670398576131022
17.5,10,5.0,5.0,5.0,16.83046922849487,12.198139675556869,2.2011394032659934,5.0,5.0,5.0,16.632086829750424,12.462118729218258,2.5312255389010447
17.5,15,5.0,5.0,5.0,18.007421613408113,16.61489320431616,1.2184154691883822,5.0,5.0,5.0,18.075716713579418,16.573233699786286,1.1734849774554423
17.5,20,5.0,5.0,5.0,18.440465935650458,21.329596278171017,0.9899829764838136,5.0,5.0,5.0,18.36469066625842,21.42713263115624,1.0606896769509304
17.5,25,5.0,5.0,5.0,19.220070724599697,25.43685795490577,1.1206769993825714,5.0,5.0,5.0,18.69757669003234,25.47065630300367,0.601739323647832
17.5,30,5.0,5.0,5.0,18.224768688436914,29.766954592830217,0.6452237698295235,5.0,5.0,5.0,18.4698007415324,30.166316943745947,0.43744755024819304
17.5,35,5.0,5.0,5.0,17.398683823287662,34.56612020345401,1.089587029477677,5.0,5.0,5.0,17.437116541508566,34.68338570277312,0.9761918512933491
17.5,40,5.0,5.0,5.0,16.841100862855946,38.8833433012393,1.9710592531422662,5.0,5.0,5.0,16.65003448293297,38.53597273723268,2.3615667758975767
17.5,45,5.0,5.0,4.0,16.732759930381746,43.21687097801745,2.5759265778729454,5.0,5.0,5.0,16.02507110230002,42.02471682075763,3.962053314960175
17.5,50,5.0,5.0,5.0,12.648075311477845,44.63840882630766,7.9321759727130905,5.0,4.0,5.0,12.452671664726015,44.21642641426344,8.374299947852796
22.5,0,5.0,4.0,4.0,20.608308780223545,2.5316005121682696,3.279061737477218,5.0,3.0,4.0,18.811790206568666,5.285874335171007,6.500808507529132
22.5,5,5.0,4.0,4.0,21.129335671302197,7.491965378636214,2.873993222297945,5.0,4.0,4.0,21.803552390200462,6.526465161345986,1.7174691160778341
22.5,10,5.0,5.0,5.0,21.217569439136106,13.607827512057602,3.719368516776473,5.0,5.0,5.0,21.579484891156152,13.096302980452048,3.095483154310005
22.5,15,5.0,5.0,5.0,22.716932327856416,17.39826941196257,2.034655126606654,5.0,5.0,5.0,22.696976521425146,17.391959177763653,2.032321158222642
22.5,20,5.0,5.0,5.0,24.97188566229168,21.013244952993364,1.9697779836989218,5.0,5.0,5.0,25.057194113333164,20.805468230111906,1.9987529319293236
22.5,25,5.0,5.0,5.0,25.037916226867083,25.796890702678525,1.9781409283029856,5.0,5.0,5.0,25.11038141957821,25.971542041396834,2.0900463528997046
22.5,30,5.0,5.0,5.0,25.368975420835987,29.864649256180183,2.3312764484861654,5.0,5.0,5.0,24.73834488100568,30.037716651882725,1.6779222787246655
22.5,35,5.0,5.0,5.0,23.07411019560965,33.9943917332779,1.4058466777884673,5.0,5.0,5.0,23.574152856196328,34.47985030170779,1.0351311019896818
22.5,40,5.0,5.0,5.0,21.51054947140789,37.40091158918292,3.394242813756709,5.0,5.0,5.0,21.39419568003301,37.2886179557792,3.5483047505981826
22.5,45,5.0,4.0,3.0,24.69898637247144,48.20140693743451,3.2256221490521155,5.0,4.0,3.0,25.27920879416055,49.090932551939495,4.286249417790952
22.5,50,5.0,3.0,2.0,24.103580114218722,52.870186920733474,2.6662701417932113,5.0,4.0,4.0,21.55898897438818,49.234188543196645,1.9323124317436766
27.5,0,5.0,4.0,5.0,28.579784821329895,-0.2284339938189138,0.7906470510700387,5.0,5.0,4.0,30.575176997761325,-4.191973002804884,5.216580990336071
27.5,5,5.0,5.0,5.0,30.63986995973416,1.466383072561603,4.682337188220205,6.0,5.0,6.0,31.978804400567608,5.897369123847682,3.9105625711935152
27.5,10,5.0,5.0,5.0,28.770192452712784,11.717703777382361,1.4783440629978255,5.0,5.0,5.0,26.568511967542,14.72770672815771,4.590697236641029
27.5,15,5.0,5.0,5.0,30.304544933352666,16.425215943659047,2.4312725257164436,5.0,5.0,5.0,29.848004641943106,16.98129276807019,2.357118377724319
27.5,20,5.0,5.0,5.0,29.498568177547348,22.302007300010953,2.3608525401945517,5.0,5.0,5.0,29.915940205238048,21.968679390477966,2.3996653639852217
27.5,25,5.0,5.0,5.0,31.09348601226687,26.4922596694189,3.186532549822217,5.0,5.0,5.0,30.88822403504746,26.212124633375076,2.9040901655683733
27.5,30,5.0,5.0,5.0,30.114877219816975,30.12042465101292,2.034181060451263,5.0,5.0,5.0,30.225384735971705,30.2348649325179,2.1317902960689694
