X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRMM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRMM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,20,5,5,5,68.9076956,19.71574513,1.058573052,5,5,5,68.93460174,19.70889033,1.083601701
67.5,25,5,5,5,68.55728955,25.6445567,0.518576626,5,5,5,68.58771012,25.64052162,0.543793908
67.5,30,5,5,5,68.82130615,31.395621,1.229448553,5,5,5,68.84007721,31.38691748,1.23358031
67.5,35,5,5,5,69.04262308,36.3124153,1.311884127,5,5,5,69.06171215,36.32515799,1.334469022
67.5,40,5,5,5,69.57050251,41.41946528,1.789325873,5,5,5,69.58855631,41.44488282,1.818675339
67.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
67.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,10,5,5,5,75.57047674,7.948044195,3.48071007,5,5,5,75.65591492,7.921823275,3.560064744
72.5,15,5,5,5,73.74182009,14.39960301,1.188581998,5,5,5,73.80558995,14.39728867,1.226086129
72.5,20,5,5,5,73.45610626,19.32835178,1.129265941,5,5,5,73.49903269,19.33033203,1.141672745
72.5,25,5,5,5,73.10502781,25.33463283,0.065560249,5,5,5,73.13835088,25.33327938,0.076957329
72.5,30,5,5,5,73.15970392,31.23919446,0.841315578,5,5,5,73.21942551,31.25729006,0.865568421
72.5,35,5,5,5,73.35252583,35.96482278,0.618703541,5,5,5,73.40370682,35.98796241,0.661768563
72.5,40,5,5,5,74.82952346,42.38485071,2.632657167,5,5,5,74.80885746,42.37160745,2.60910516
72.5,45,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
72.5,50,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
