X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRMM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRMM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,30,5.0,5.0,No Data,22.525596046842786,31.026189303073483,9.44637358363208,5.0,5.0,No Data,22.45562065244338,31.06129292254523,9.378962955563557
12.5,35,5.0,5.0,No Data,22.02554060564338,35.06313604233854,8.931895231638139,6.0,5.0,No Data,23.53047330083768,34.829426550838775,10.446067553887225
12.5,40,5.0,4.0,No Data,20.07157583193457,32.35514978034081,10.645303407473396,5.0,4.0,No Data,20.59158609007528,34.42134051723391,9.584791669925762
12.5,45,5.0,5.0,No Data,14.693432545090328,47.91040066161717,2.9734052461110916,6.0,5.0,No Data,19.40550147569321,43.71506069065098,6.526742628306927
12.5,50,2.0,1.0,No Data,11.22961966712149,56.20251517288213,6.09651580176301,2.0,2.0,No Data,13.851989242142576,52.01263463698557,1.7793477155136772
17.5,0,5.0,5.0,No Data,23.938844107228878,6.889962983750491,8.729932418923582,5.0,5.0,No Data,24.035305680450683,7.028172685747611,8.897220165449479
17.5,5,7.0,6.0,No Data,24.057748820675506,5.964854981947238,5.984465904397066,5.0,5.0,No Data,24.442097244850537,11.721316121573865,8.95439752144221
17.5,10,5.0,5.0,No Data,25.142540031016576,14.221710511895333,8.012667553642933,5.0,5.0,No Data,25.101866434916968,14.1822731347463,7.958123122837471
17.5,15,5.0,5.0,No Data,26.112864372347428,17.604139379003406,8.310488905696717,6.0,6.0,No Data,25.16106415197088,16.142092382348697,7.099952680278101
17.5,20,5.0,5.0,No Data,27.247531928595926,22.232204900322355,9.329218358546825,5.0,5.0,No Data,27.103018033682428,22.230297284726042,9.187182476977721
17.5,25,5.0,5.0,No Data,27.30999380553298,25.365790610711155,9.210057338598459,5.0,5.0,No Data,27.21996625213702,25.434157670499342,9.120030218512003
17.5,30,5.0,5.0,No Data,27.088949873798306,28.36024637686297,9.217473334746305,5.0,5.0,No Data,27.00693539853189,28.426498307610075,9.12294947500458
17.5,35,7.0,5.0,No Data,27.089494519194442,31.585520904241417,9.76530913400114,7.0,5.0,No Data,26.23819440717989,32.19242964565567,8.747497687174464
17.5,40,5.0,5.0,No Data,24.33692406467127,37.07481765090643,7.067960062365872,6.0,5.0,No Data,24.521594464268563,34.94463456741496,8.426024416447438
17.5,45,5.0,5.0,No Data,24.438456745205333,39.6524012222377,8.55633833020724,5.0,5.0,No Data,24.38823217497096,39.829590253780665,8.400674295978586
17.5,50,2.0,1.0,No Data,30.420900597276173,26.366472694952513,27.00768457773497,1.0,1.0,No Data,24.453655516415893,43.37554593436086,9.471636254711028
22.5,0,5.0,5.0,No Data,27.452293402830055,8.199786690406345,8.931916383406081,5.0,5.0,No Data,27.554188864023057,8.386033922201815,9.144207797449985
22.5,5,5.0,4.0,No Data,27.528124915663682,12.230012282556483,8.139862286832246,5.0,4.0,No Data,27.73118055528655,12.351127138437581,8.352604493832308
22.5,10,6.0,5.0,No Data,25.384439724636636,20.67351169476191,10.524433827902936,6.0,5.0,No Data,28.817315302262173,21.63923456009825,12.60984090947971
22.5,15,5.0,5.0,No Data,28.883730632015073,19.289575719778348,6.969959777760465,5.0,5.0,No Data,28.944951372759853,19.33345459368001,7.0452481567698975
22.5,20,5.0,5.0,No Data,28.634491757852892,22.024194549569046,5.76789449908642,5.0,5.0,No Data,28.70721370696691,22.016379400109592,5.835540071038519
22.5,25,5.0,5.0,No Data,28.642888568396263,25.514892256243225,5.544079176220575,5.0,5.0,No Data,28.62712871585084,25.529778766271583,5.528652129566295
22.5,30,5.0,5.0,No Data,28.796517250837518,28.575167805185117,5.981665430991799,5.0,5.0,No Data,28.71233230753366,28.684552884236307,5.868648288760203
22.5,35,5.0,5.0,No Data,28.862909244320225,31.926642563959593,6.728694883613662,5.0,5.0,No Data,28.806343857020828,31.978798700204955,6.653343411269151
22.5,40,5.0,5.0,No Data,28.608777354463946,34.912308099425026,7.775692273790864,6.0,5.0,No Data,29.303635360590416,30.757405877969536,11.465806255531453
22.5,45,5.0,5.0,No Data,27.654773630945282,39.66908627252857,7.320473685553071,5.0,5.0,No Data,27.643490169440383,39.79797547484058,7.212903832735401
22.5,50,3.0,2.0,No Data,29.8292250299547,38.448950449390615,13.715321901613887,3.0,2.0,No Data,29.293707069098833,41.718725964917375,10.664263975071348
27.5,0,5.0,5.0,No Data,30.693288220328487,9.469986604025005,9.433440559567199,5.0,5.0,No Data,30.701654101575638,9.545730068426938,9.50857415960847
27.5,5,5.0,5.0,No Data,31.729083316615196,13.726842303274726,9.083311536138142,6.0,5.0,No Data,33.243535310915256,14.801201632643512,10.716274895328652
27.5,10,5.0,5.0,No Data,31.886238953572605,16.404807138317075,7.098824845136994,5.0,5.0,No Data,31.808454895540326,16.357258318966117,7.017233385825785
27.5,15,5.0,5.0,No Data,31.43333349234576,18.73827469429969,4.717540684063643,5.0,5.0,No Data,31.39907766695792,18.728405713424397,4.686384325445007
27.5,20,5.0,5.0,No Data,30.539031586615472,21.800175829798313,2.8123597627009564,5.0,5.0,No Data,30.517821898237134,21.821647280534755,2.8048072521738243
27.5,25,6.0,5.0,No Data,27.27809734279317,27.38947022050621,2.1525602746972474,5.0,5.0,No Data,29.882226630217236,25.628077790164365,1.7967613196587184
27.5,30,5.0,5.0,No Data,30.727126773307305,29.184765630921504,2.894579357146328,5.0,5.0,No Data,30.663629568369636,29.269067642702076,2.802000100036136
27.5,35,5.0,5.0,No Data,31.631317291560435,32.0028795050158,4.900064231325485,6.0,5.0,No Data,31.502302759469625,30.49827761546474,5.966786941239701
