X,Y,Place_Count,Place_Within_Tolerance,Place_Recognized_as_PRMM,Place_Pos_X,Place_Pos_Y,Place_Euclidean_Distance,Remove_Count,Remove_Within_Tolerance,Remove_Recognized_as_PRMM,Remove_Pos_X,Remove_Pos_Y,Remove_Euclidean_Distance
2.5,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
2.5,5,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data
12.5,30,5.0,5.0,No Data,20.903930677198893,33.551150733878664,8.416120541089585,5.0,5.0,No Data,20.83832946208126,33.57944367946871,8.366038786344967
12.5,35,5.0,5.0,No Data,19.789123537742682,38.54527665244708,7.391693914361707,6.0,5.0,No Data,21.402281624574936,38.14305832747594,8.743697682427598
12.5,40,5.0,4.0,No Data,20.781491334445462,32.638210223977765,10.920196410702694,5.0,4.0,No Data,17.3390497902929,38.175995490622924,4.787038665220059
12.5,45,5.0,5.0,No Data,16.05005157002858,45.79812103945456,2.976794354315471,6.0,5.0,No Data,20.796116077311055,42.25154137782214,8.315226657825496
12.5,50,2.0,2.0,No Data,15.435490276073125,49.65390084754078,2.451770538800987,2.0,2.0,No Data,15.194789888789318,49.92187047225052,2.148662961816
17.5,0,5.0,5.0,No Data,21.33189547017354,2.8308982199143538,4.044059159521656,5.0,5.0,No Data,21.383628528647506,2.8994648397382954,4.126686418815435
17.5,5,7.0,6.0,No Data,22.78040542130248,3.976008899590128,4.892233187594817,5.0,5.0,No Data,22.288831302204276,8.368643272278176,5.134116336466173
17.5,10,5.0,5.0,No Data,23.1225735278693,11.076587228486211,5.067939928669646,5.0,5.0,No Data,23.084867262439182,11.041770037248009,5.026009391639375
17.5,15,5.0,5.0,No Data,24.481239029348764,15.063670094948487,6.390096192915714,6.0,5.0,No Data,22.56467086991999,12.099462491436134,5.552191803436647
17.5,20,5.0,5.0,No Data,22.43323559003531,14.736261039844223,7.131260035052366,5.0,5.0,No Data,22.378814103211575,14.874628884212225,6.988417281260764
17.5,25,5.0,5.0,No Data,23.044028514419857,18.72360781095172,8.307685033352039,5.0,5.0,No Data,23.00714045258178,18.874713991367297,8.16451988275013
17.5,30,5.0,5.0,No Data,22.24148985232533,35.90782667345465,6.89116048730054,5.0,5.0,No Data,22.20879242412698,35.89729109670543,6.863117701633861
17.5,35,7.0,5.0,No Data,25.260837482642334,33.551853840221774,7.395487656721386,7.0,6.0,No Data,25.683021746846045,33.507594634945455,7.815588069929686
17.5,40,5.0,5.0,No Data,22.363596553215203,40.147323206024424,4.271077279891142,6.0,5.0,No Data,22.66166985314267,37.05225880915595,5.658286218453832
17.5,45,5.0,5.0,No Data,22.316905449136897,42.955693810414424,4.874107540402324,5.0,5.0,No Data,22.266644680732917,43.132939203142534,4.743468409521444
17.5,50,2.0,1.0,No Data,28.037703151291858,31.537100044758866,21.32057547639444,1.0,1.0,No Data,21.795239949847698,47.51474561037711,4.688229002490018
22.5,0,5.0,5.0,No Data,25.286843228284983,4.828142778285741,4.93869737582493,5.0,5.0,No Data,25.308278055890494,4.889111391995437,5.00286048794794
22.5,5,5.0,5.0,No Data,25.19328897993016,8.59463176858545,3.8193626288102616,5.0,5.0,No Data,25.298154074996713,8.562862223951242,3.851698169005776
22.5,10,6.0,5.0,No Data,21.970702573211096,16.062422339234413,5.773936215963332,6.0,5.0,No Data,25.171801362031147,15.013574440127192,5.057413370321734
22.5,15,5.0,5.0,No Data,25.199911470104844,13.553804656277794,2.7960803689199345,5.0,5.0,No Data,25.214455009288894,13.525006308451129,2.826043405479639
22.5,20,5.0,5.0,No Data,25.939292116959926,17.8277214244945,3.831213488626727,5.0,5.0,No Data,25.980940588957747,17.7715243260164,3.8998337202793314
22.5,25,5.0,5.0,No Data,26.279264899956388,26.345316116088775,3.316827982188986,5.0,5.0,No Data,26.300423268500783,26.31549137023648,3.3287886004579343
22.5,30,5.0,5.0,No Data,25.882513850553096,33.11232222229464,3.8857528441825955,5.0,5.0,No Data,25.884383781380812,33.08771835258833,3.8699642097643037
22.5,35,5.0,5.0,No Data,25.29483518444442,37.482196472976746,3.0253666949564924,5.0,5.0,No Data,25.286243909650427,37.459656074400094,3.0036387228321564
22.5,40,5.0,5.0,No Data,24.105871629673892,41.92341131126918,1.825529993915654,6.0,5.0,No Data,25.565809562618345,36.47054282974646,4.6390570649601885
22.5,45,5.0,5.0,No Data,25.738482757926768,42.65278478095651,3.809039606465258,5.0,5.0,No Data,25.718217916801315,42.7956581489058,3.692920461805285
22.5,50,3.0,3.0,No Data,25.65679076525734,44.94550380012552,6.024010940540391,3.0,2.0,No Data,29.01815068280082,45.7754641915271,7.510714942546007
27.5,0,5.0,5.0,No Data,28.949818203615713,6.755373200809949,6.411938825407641,5.0,5.0,No Data,28.935934881600296,6.796474265395192,6.450865845306276
27.5,5,5.0,5.0,No Data,27.323681772956395,6.8675548120515995,1.6602370662095018,6.0,5.0,No Data,30.05737356408544,8.45171728915256,3.625505438182818
27.5,10,5.0,5.0,No Data,28.748542162568263,11.51935818741122,1.2936652149428953,5.0,5.0,No Data,28.734296297047244,11.57073944850543,1.331526435612392
27.5,15,5.0,5.0,No Data,29.382967359661734,15.545818654375022,1.2912274493369245,5.0,5.0,No Data,29.371968900757984,15.57216180113943,1.2835671272929376
27.5,20,5.0,5.0,No Data,29.498013735717866,20.17929277247969,1.4153282606997992,5.0,5.0,No Data,29.478950258569206,20.20410591175357,1.3927951426602467
27.5,25,6.0,5.0,No Data,25.82952129163152,23.962538960282888,2.68726027877078,5.0,5.0,No Data,29.583137013557455,26.093765570489886,1.637377802396649
27.5,30,5.0,5.0,No Data,29.57243789787189,30.982636467674006,1.583520955514334,5.0,5.0,No Data,29.59016707432132,30.94046757861063,1.5851508170898445
27.5,35,5.0,5.0,No Data,29.413632462877956,35.45585369002579,1.3148193344396402,6.0,5.0,No Data,29.368083144785135,33.57180117069493,2.224937262387542
